"합계",광진구,155242,368199,180647,187552,147718,342909,166328,176581,51,575,260,315,33,5628,2868,2760,7440,13634,6433,7201,153844,363979,177858,186121,146196,339155,163934,175221,51,407,262,145,26,5324,2612,2712,7571,13854,6550,7304,155878,363934,177156,186778,147846,338040,163065,174975,61,568,311,257,29,5487,2751,2736,7942,14382,6554,7828,156764,362304,175762,186542,148735,335353,161180,174173,58,520,265,255,29,5838,2836,3002,7942,14877,6931,7946,158673,359766,174027,185739,149905,331747,159187,172560,65,570,315,255,22,5827,2814,3013,8681,15325,7015,8310,160944,353967,169925,184042,152090,328366,156900,171466,55,476,231,245,23,4096,1771,2325,8776,15249,6923,8326,162785,347099,166469,180630,153962,323607,154760,168847,49,397,171,226,22,3588,1582,2006,8752,14613,6575,8038,166046,346519,165843,180676,156463,321703,153691,168012,54,480,196,284,24,4196,1824,2372,9505,15418,6824,8594,168848,348160,166527,181633,158612,321416,153569,167847,54,456,205,251,39,5132,2336,2796,10143,16024,7041,8983,169231,345130,164812,180318,158609,317840,151610,166230,48,440,205,235,30,5012,2301,2711,10544,16842,7376,9466
"합계",동대문구,153362,364787,181189,183598,146677,342429,168828,173601,103,1193,597,596,31,4229,2001,2228,6551,10651,4524,6127,152538,359935,178285,181650,145179,337449,166238,171211,69,611,373,238,34,4323,2069,2254,7256,11743,4892,6851,153187,357380,176460,180920,145294,332541,163682,168859,91,868,454,414,43,5167,2438,2729,7759,12624,5106,7518,155542,358141,176323,181818,146974,331344,162598,168746,119,1072,566,506,39,5414,2598,2816,8410,13464,5467,7997,157662,355094,174161,180933,148349,327897,160582,167315,96,847,461,386,30,4743,2100,2643,9187,14055,5739,8316,158899,351057,171484,179573,150373,325598,158810,166788,97,863,473,390,34,4789,2241,2548,8395,12832,5336,7496,162315,348201,169409,178792,153246,322786,157421,165365,107,909,441,468,39,5659,2532,3127,8923,13178,5280,7898,166787,350709,169670,181039,155912,322525,156924,165601,92,867,420,447,32,5931,2619,3312,10751,15602,5902,9700,171039,355999,171927,184072,159457,326843,158824,168019,115,1053,524,529,39,5788,2495,3293,11428,15917,6056,9861,172439,355789,171604,184185,160767,326070,158077,167993,103,946,479,467,43,6072,2630,3442,11526,16516,6495,10021
"합계",중랑구,160043,403237,199936,203301,157537,391655,192236,199419,37,428,181,247,31,1371,610,761,2438,4118,1916,2202,159920,399317,197875,201442,157571,388408,190502,197906,21,174,122,52,22,1283,573,710,2306,3930,1870,2060,161432,396892,196346,200546,159035,385721,188954,196767,39,367,212,155,23,1407,708,699,2335,4035,1855,2180,162039,391668,193599,198069,159444,380262,186286,193976,40,364,209,155,19,1379,687,692,2536,4400,2032,2368,163422,386331,190531,195800,160776,374640,183357,191283,35,325,179,146,19,1551,695,856,2592,4529,2110,2419,167617,385663,189537,196126,164832,374271,182856,191415,28,224,116,108,21,1458,554,904,2736,4834,2223,2611,170021,380307,186364,193943,167260,370216,180631,189585,44,350,156,194,23,1262,412,850,2694,4587,2125,2462,173424,379127,185196,193931,170544,368945,179517,189428,45,383,175,208,20,1124,295,829,2815,4738,2143,2595,174863,376621,183685,192936,171823,366044,177901,188143,44,373,166,207,24,1255,415,840,2972,5061,2308,2753,176740,375066,182365,192701,173326,363653,176236,187417,50,418,199,219,25,1588,548,1040,3339,5694,2569,3125
"합계",성북구,178717,456844,221861,234983,174257,434061,209363,224698,99,1269,619,650,69,7762,2976,4786,4292,6833,3053,3780,179278,451800,218606,233194,174370,428696,206326,222370,86,851,402,449,67,8136,3077,5059,4755,7557,3343,4214,178276,445417,215068,230349,172973,421449,202703,218746,113,1036,449,587,70,8276,3128,5148,5120,8296,3567,4729,177489,438734,211204,227530,171943,413679,198555,215124,111,1020,471,549,72,8572,3167,5405,5363,8447,3573,4874,182594,445327,213832,231495,176729,418403,200642,217761,97,878,371,507,65,9354,3338,6016,5703,8829,3655,5174,184871,438833,209682,229151,179660,416155,198500,217655,113,1034,454,580,79,6923,2557,4366,5019,7743,3208,4535,187246,435509,207428,228081,181827,412726,196898,215828,117,1016,384,632,107,8332,2875,5457,5195,7628,3110,4518,190541,436113,207284,228829,183972,411430,195957,215473,138,1345,605,740,89,8095,2821,5274,6342,9232,3593,5639,191164,432874,205261,227613,184404,407265,193822,213443,134,1298,550,748,81,9017,3186,5831,6545,9249,3570,5679,191165,429210,203170,226040,184228,402659,191421,211238,124,1203,521,682,100,10103,3527,6576,6713,9485,3725,5760
"합계",강북구,127462,319992,156386,163606,125666,310292,150378,159914,46,462,239,223,36,1782,457,1325,1714,2890,1273,1617,127371,316212,154407,161805,125580,307062,148774,158288,26,224,148,76,33,1807,471,1336,1732,2825,1247,1578,129204,313698,152464,161234,127281,304565,147022,157543,31,274,135,139,37,1914,557,1357,1855,2930,1243,1687,129610,309138,150028,159110,127551,299415,144410,155005,68,557,259,298,30,1895,506,1389,1961,3155,1394,1761,130161,303871,147112,156759,128012,294143,141759,152384,43,362,193,169,29,2080,518,1562,2077,3258,1430,1828,131884,299535,144779,154756,129805,290437,139796,150641,41,371,234,137,31,1938,537,1401,2007,3205,1411,1794,132458,292611,141265,151346,130329,284035,136774,147261,61,518,270,248,31,1828,474,1354,2037,3206,1401,1805,133870,287788,138515,149273,131275,278880,133830,145050,65,566,278,288,28,1433,381,1052,2502,3772,1573,2199,134438,284155,136266,147889,131363,274648,131568,143080,60,562,307,255,30,1376,346,1030,2985,4476,1754,2722,134478,280470,133834,146636,130929,269858,128904,140954,59,501,296,205,34,2002,519,1483,3456,5143,1923,3220
"합계",도봉구,125952,340095,166187,173908,124981,331682,160673,171009,33,401,119,282,31,1928,433,1495,907,1440,709,731,126297,336745,164407,172338,125384,329548,159573,169975,10,82,53,29,27,1481,254,1227,876,1376,674,702,126940,332586,161944,170642,125974,325115,157138,167977,29,267,102,165,31,1775,360,1415,906,1406,676,730,127249,328243,159569,168674,126286,320556,154873,165683,49,371,133,238,27,1859,328,1531,887,1457,690,767,127843,323543,156961,166582,126831,315032,152106,162926,24,185,80,105,34,2818,640,2178,954,1548,752,796,128378,315979,153080,162899,127362,308747,148819,159928,19,168,68,100,30,2029,510,1519,967,1539,724,815,129498,309200,149413,159787,128439,302596,145847,156749,46,380,125,255,27,1846,325,1521,986,1490,683,807,130115,304137,146600,157537,128975,297133,142928,154205,46,382,142,240,33,2050,304,1746,1061,1632,754,878,130370,299931,144315,155616,129149,292856,140759,152097,48,408,132,276,31,2119,353,1766,1142,1769,801,968,131159,296997,142662,154335,129841,289346,138946,150400,41,359,106,253,37,2696,544,2152,1240,1949,893,1056
"합계",노원구,206092,562996,274128,288868,204836,547202,263417,283785,62,734,304,430,32,5180,2194,2986,1162,1875,958,917,205793,555420,270058,285362,204606,540372,259901,280471,46,352,163,189,41,5377,2279,3098,1100,1781,891,890,204188,543499,263655,279844,202955,527633,253207,274426,84,644,345,299,40,6388,2821,3567,1109,1795,868,927,203647,534096,258737,275359,202326,516758,247829,268929,75,587,220,367,36,7602,3440,4162,1210,2021,958,1063,202930,522480,252662,269818,201458,504967,241951,263016,67,546,202,344,36,7686,3415,4271,1369,2223,1073,1150,204210,511982,246317,265665,202695,497776,237619,260157,50,414,191,223,36,5126,1924,3202,1429,2319,1173,1146,205936,503929,242171,261758,204282,488629,233278,255351,64,493,186,307,41,6907,2920,3987,1549,2366,1145,1221,206796,496423,238120,258303,205078,480815,229076,251739,48,379,149,230,46,7421,3183,4238,1624,2428,1162,1266,207589,492979,236495,256484,205769,476548,226873,249675,52,446,160,286,40,8391,4121,4270,1728,2533,1150,1383,207675,486446,233042,253404,205666,469812,223413,246399,56,469,192,277,43,8364,4131,4233,1910,2856,1198,1658
"합계",은평구,181725,478374,232709,245665,179752,464236,222929,241307,49,464,204,260,35,4008,2397,1611,1889,3399,1636,1763,180698,472242,229215,243027,178775,458783,220012,238771,21,161,88,73,36,4229,2400,1829,1866,3203,1532,1671,181588,466243,225813,240430,179641,453061,216979,236082,34,290,152,138,39,4132,2235,1897,1874,3248,1559,1689,183289,462552,223452,239100,181338,449471,214766,234705,52,410,186,224,32,3785,2019,1766,1867,3214,1571,1643,186841,461530,222076,239454,184890,447693,213158,234535,48,453,249,204,34,4377,2279,2098,1869,3201,1503,1698,192581,463102,221828,241274,190631,450207,213654,236553,43,409,198,211,34,4065,2175,1890,1873,3233,1504,1729,195512,457385,218155,239230,193626,445703,210990,234713,53,490,202,288,40,3910,2016,1894,1793,2995,1407,1588,198082,454649,216315,238334,196206,442955,209097,233858,64,623,265,358,43,3763,1917,1846,1769,2922,1348,1574,200425,452988,214646,238342,198534,442002,207882,234120,55,531,236,295,38,3455,1786,1669,1798,2939,1335,1604,200904,448142,211821,236321,198916,437356,205255,232101,51,500,228,272,42,3164,1609,1555,1895,3163,1425,1738
"합계",서대문구,125149,308768,147956,160812,121034,288543,137817,150726,60,772,393,379,44,7768,3023,4745,4011,6923,2807,4116,130954,320258,151756,168502,126581,298202,141698,156504,51,432,161,271,43,9430,3075,6355,4279,7334,2853,4481,131721,321345,151132,170213,126672,296743,140603,156140,60,585,305,280,45,10859,3261,7598,4944,8153,2995,5158,132305,318874,149438,169436,127197,293559,138984,154575,71,653,312,341,40,10776,3075,7701,4997,8153,2828,5325,134437,319394,149113,170281,128635,291958,137971,153987,68,600,294,306,37,10885,3046,7839,5697,9153,3095,6058,138528,317209,148696,168513,133112,296599,139604,156995,61,547,287,260,38,5744,1878,3866,5317,8312,2984,5328,140409,314547,146558,167989,134544,292657,137759,154898,72,678,319,359,41,7489,2044,5445,5752,8629,3086,5543,143327,318308,146857,171451,136043,291938,137252,154686,81,706,327,379,43,10086,2520,7566,7160,10344,3374,6970,145742,320168,147424,172744,138166,293455,137728,155727,77,726,339,387,44,10502,2904,7598,7455,10371,3266,7105,145416,316345,145122,171223,137979,290371,135959,154412,67,666,295,371,37,9902,2475,7427,7333,10377,3236,7141
"합계",마포구,159636,381330,182657,198673,154981,364232,172865,191367,72,741,354,387,28,2650,1281,1369,4555,8077,3475,4602,158474,375142,179193,195949,153610,357717,169347,188370,54,461,261,200,20,3707,1805,1902,4790,7873,3353,4520,157877,368841,175326,193515,152814,351174,165730,185444,61,552,288,264,20,3817,1847,1970,4982,8221,3320,4901,159850,368181,174194,193987,154940,350007,164506,185501,83,705,357,348,23,3893,1752,2141,4804,7776,3033,4743,162161,369327,173893,195434,156885,348755,163126,185629,81,711,389,322,21,4975,2292,2683,5174,8239,3159,5080,166007,365612,171161,194451,160681,349648,162914,186734,77,635,321,314,23,1942,873,1069,5226,8038,3219,4819,169539,365192,170867,194325,164080,349062,162826,186236,75,613,270,343,23,2911,1263,1648,5361,8093,3229,4864,171619,362408,168768,193640,165603,345377,160627,184750,66,600,285,315,19,3255,1424,1831,5931,8722,3213,5509,173258,361380,167854,193526,167410,344866,160138,184728,70,584,287,297,22,3400,1386,2014,5756,8310,3009,5301,173531,358927,166191,192736,167967,342854,158711,184143,71,644,332,312,23,3512,1334,2178,5470,7779,2814,4965
