연도,남자,여자
2015,67858092,70271970
2016,68274557,70626411
2017,68514490,70716348
2018,68705844,70822980
2019,68851790,70874093
2020,69442245,71484214
2021,69733837,71465043
2022,69518546,71373971
2023,69647261,71437586
2024,69615284,71411040
